0.00E+00,5.50E+02,1.65E+03,2.20E+03,2.65E+03,3.10E+03,3.45E+03,4.15E+03,5.25E+03,5.85E+03,6.40E+03,6.95E+03,7.60E+03,1.00E+04,1.10E+04,1.38E+04,1.62E+04
5.50E+02,0.00E+00,1.10E+03,1.65E+03,2.10E+03,2.55E+03,2.90E+03,3.60E+03,4.70E+03,5.30E+03,5.85E+03,6.40E+03,7.05E+03,9.49E+03,1.05E+04,1.32E+04,1.57E+04
1.65E+03,1.10E+03,0.00E+00,5.50E+02,1.00E+03,1.45E+03,1.80E+03,2.50E+03,3.60E+03,4.20E+03,4.75E+03,5.30E+03,5.95E+03,8.39E+03,9.39E+03,1.21E+04,1.46E+04
2.20E+03,1.65E+03,5.50E+02,0.00E+00,4.50E+02,9.00E+02,1.25E+03,1.95E+03,3.05E+03,3.65E+03,4.20E+03,4.75E+03,5.40E+03,7.84E+03,8.84E+03,1.16E+04,1.40E+04
2.65E+03,2.10E+03,1.00E+03,4.50E+02,0.00E+00,4.50E+02,8.00E+02,1.50E+03,2.60E+03,3.20E+03,3.75E+03,4.30E+03,4.95E+03,7.39E+03,8.39E+03,1.11E+04,1.36E+04
3.10E+03,2.55E+03,1.45E+03,9.00E+02,4.50E+02,0.00E+00,3.50E+02,1.05E+03,2.15E+03,2.75E+03,3.30E+03,3.85E+03,4.50E+03,6.94E+03,7.94E+03,1.07E+04,1.31E+04
3.45E+03,2.90E+03,1.80E+03,1.25E+03,8.00E+02,3.50E+02,0.00E+00,7.00E+02,1.80E+03,2.40E+03,2.95E+03,3.50E+03,4.15E+03,6.59E+03,7.59E+03,1.03E+04,1.28E+04
4.15E+03,3.60E+03,2.50E+03,1.95E+03,1.50E+03,1.05E+03,7.00E+02,0.00E+00,1.10E+03,1.70E+03,2.25E+03,2.80E+03,3.45E+03,5.89E+03,6.89E+03,9.64E+03,1.21E+04
5.25E+03,4.70E+03,3.60E+03,3.05E+03,2.60E+03,2.15E+03,1.80E+03,1.10E+03,0.00E+00,6.00E+02,1.15E+03,1.70E+03,2.35E+03,4.79E+03,5.79E+03,8.54E+03,1.10E+04
5.85E+03,5.30E+03,4.20E+03,3.65E+03,3.20E+03,2.75E+03,2.40E+03,1.70E+03,6.00E+02,0.00E+00,5.50E+02,1.10E+03,1.75E+03,4.19E+03,5.19E+03,7.94E+03,1.04E+04
6.40E+03,5.85E+03,4.75E+03,4.20E+03,3.75E+03,3.30E+03,2.95E+03,2.25E+03,1.15E+03,5.50E+02,0.00E+00,5.50E+02,1.20E+03,3.64E+03,4.64E+03,7.39E+03,9.81E+03
6.95E+03,6.40E+03,5.30E+03,4.75E+03,4.30E+03,3.85E+03,3.50E+03,2.80E+03,1.70E+03,1.10E+03,5.50E+02,0.00E+00,6.50E+02,3.09E+03,4.09E+03,6.84E+03,9.26E+03
7.60E+03,7.05E+03,5.95E+03,5.40E+03,4.95E+03,4.50E+03,4.15E+03,3.45E+03,2.35E+03,1.75E+03,1.20E+03,6.50E+02,0.00E+00,2.44E+03,3.44E+03,6.19E+03,8.61E+03
1.00E+04,9.49E+03,8.39E+03,7.84E+03,7.39E+03,6.94E+03,6.59E+03,5.89E+03,4.79E+03,4.19E+03,3.64E+03,3.09E+03,2.44E+03,0.00E+00,1.00E+03,3.75E+03,6.17E+03
1.10E+04,1.05E+04,9.39E+03,8.84E+03,8.39E+03,7.94E+03,7.59E+03,6.89E+03,5.79E+03,5.19E+03,4.64E+03,4.09E+03,3.44E+03,1.00E+03,0.00E+00,2.75E+03,5.17E+03
1.38E+04,1.32E+04,1.21E+04,1.16E+04,1.11E+04,1.07E+04,1.03E+04,9.64E+03,8.54E+03,7.94E+03,7.39E+03,6.84E+03,6.19E+03,3.75E+03,2.75E+03,0.00E+00,2.42E+03
1.62E+04,1.57E+04,1.46E+04,1.40E+04,1.36E+04,1.31E+04,1.28E+04,1.21E+04,1.10E+04,1.04E+04,9.81E+03,9.26E+03,8.61E+03,6.17E+03,5.17E+03,2.42E+03,0.00E+00
